Date,Temp_max,temp_min,temp_avg,temp_depart
8/1/2023,78,65,71.5,-2.7
8/2/2023,72,60,66,-8.1
8/3/2023,80,61,70.5,-3.6
8/4/2023,80,66,73,-1
8/5/2023,77,66,71.5,-2.5
8/6/2023,84,64,74,0.1
8/7/2023,75,65,70,-3.8
8/8/2023,85,66,75.5,1.8
8/9/2023,85,71,78,4.3
8/10/2023,85,70,77.5,3.9
8/11/2023,84,68,76,2.5
8/12/2023,82,63,72.5,-0.9
8/13/2023,88,71,79.5,6.2
8/14/2023,85,70,77.5,4.3
8/15/2023,76,67,71.5,-1.6
8/16/2023,70,66,68,-5
8/17/2023,71,63,67,-5.9
8/18/2023,81,67,74,1.3
8/19/2023,74,60,67,-5.6
8/20/2023,84,66,75,2.5
8/21/2023,86,68,77,4.7
8/22/2023,75,63,69,-3.2
8/23/2023,72,62,67,-5
8/24/2023,78,59,68.5,-3.4
8/25/2023,73,61,67,-4.7
8/26/2023,85,69,77,5.5
8/27/2023,72,64,68,-3.3
8/28/2023,71,62,66.5,-4.6
8/29/2023,72,64,68,-2.9
8/30/2023,82,67,74.5,3.8
8/31/2023,73,61,67,-3.5
