Date,temp_max,temp_min,temp_avg,temp_depart
9/1/2023,70,57,63.5,-6.7
9/2/2023,80,58,69,-1
9/3/2023,86,64,75,5.3
9/4/2023,81,67,74,4.6
9/5/2023,84,67,75.5,6.3
9/6/2023,87,75,81,12.1
9/7/2023,93,75,84,15.4
9/8/2023,88,71,79.5,11.2
9/9/2023,85,69,77,9
9/10/2023,74,68,71,3.3
9/11/2023,72,68,70,2.6
9/12/2023,77,67,72,5
9/13/2023,76,67,71.5,4.8
9/14/2023,78,63,70.5,4.1
9/15/2023,70,57,63.5,-2.5
9/16/2023,72,59,65.5,-0.2
9/17/2023,78,59,68.5,3.2
9/18/2023,66,63,64.5,-0.4
9/19/2023,73,61,67,2.4
9/20/2023,74,59,66.5,2.3
9/21/2023,69,57,63,-0.8
9/22/2023,68,57,62.5,-1
9/23/2023,61,58,59.5,-3.6
9/24/2023,63,60,61.5,-1.2
9/25/2023,62,59,60.5,-1.8
9/26/2023,60,50,55,-7
9/27/2023,64,49,56.5,-5.1
9/28/2023,64,52,58,-3.2
9/29/2023,61,55,58,-2.8
9/30/2023,62,56,59,-1.4
